Item,Qty,Reference(s),Value,Mouser,Alternative,Comment
75,4,"U1, U2, U17, U18",uPD43256AGU-12L,,,Use Original
76,1,U3,HD68HC000P,,,Use Original
77,1,U4,NEO-C1,,,Use Original
78,1,U5,NEO-G0,,,Use Original
79,2,"U6, U7",uPD4364CX-12,,,Use Original
80,2,"U8, U80",74HC04,595-SN74HC04N,,
81,2,"U9, U10",74LS273,595-SN74LS273N,,
82,1,U11,74LS05,595-SN74LS05N,,
83,1,U12,74LS06,595-SN74LS06N,,
84,1,U13,NEO-B1,,,Use Original
85,1,U14,PST518B,,,Use Original
86,1,U15,74LS244,595-SN74LS244N,,
87,1,U16,TC531000AP,,,Use Original
88,2,"U19, U20",CXK5864P-35,,,Use Original
89,1,U21,LSPC2,,,Use Original
90,1,U22,NEO-D0,,,Use Original
91,1,U23,HM6116ASP-20,,,Use Original
92,1,U24,Z80CPU,,,Use Original
93,1,U26,YM3016D,,,Use Original
94,1,U27,YM2610,,,Use Original
95,2,"U28, U29",PC4741,,,Use Original
96,1,U32,CXA1145P,,,Use Original
97,1,U33,74AS04,595-SN74AS04N,,
98,1,U34,NEO-E0,,,Use Original
99,1,U35,74HC259,595-SN74HC259N,,
100,1,U36,27C1024,,,Use Original
101,1,U37,LM2576T-5,,https://www.aliexpress.com/item/1005004285746293.html,Not Fitted when 5v Circuit
102,1,U38,74HC32,595-SN74HC32N,,
103,1,U39,CX23065A,,,Use Original
104,1,X1,24.167829MHz,,,Use Original
105,1,X2,3.579545MHz,815-AB-3.579545-B2,,
